tag,raw_value,unit_as_recorded,source_id,source_pages,status,observed_at,is_design_setpoint
DP1,2,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
DP2,9,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
DP3,1,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT101,0,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT102,2,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT103,34,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT103A,0,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT104,9,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT105,1,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT106,1,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PT107,0,PSI,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TT101,185.2,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TT102,184.5,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TT103,188.8,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
RTD103,182.2,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
RTD105,140.9,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
RTD310,107.3,F,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
FM101,19.5,G/M,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
LT301,109,GAL,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
LT302,21,GAL,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
BT1,317,GAL,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
BT2,3034,GAL,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PMP105,0,Hz,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PMP101,0,Hz,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PMP102,29,Hz,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PMP103,16,Hz,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
PMP104,49,Hz,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TV101,~5,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TV102,0,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TV103,100,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TV104,10,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
TV108,100,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
CP301,0.0,percent,S04,3-4,HISTORICAL_HMI_SNAPSHOT_SECONDARY,unknown,False
